Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
64.000000	0.118695	0.775806	
65.000000	0.120116	0.771395	
66.000000	0.115934	0.847966	
67.000000	0.111236	0.778403	
68.000000	0.125393	0.734906	
69.000000	0.120023	0.830848	
70.000000	0.122053	0.761554	
71.000000	0.122430	0.727262	
72.000000	0.115625	0.792757	
73.000000	0.113754	0.874476	
74.000000	0.115319	0.799747	
75.000000	0.112151	0.798190	
76.000000	0.105032	0.836411	
77.000000	0.101993	0.771862	
78.000000	0.100360	0.786475	
79.000000	0.100065	0.760127	
80.000000	0.098759	0.797818	
81.000000	0.095262	0.821071	
82.000000	0.100094	0.794360	
83.000000	0.096490	0.819340	
84.000000	0.097259	0.793990	
85.000000	0.093758	0.790463	
86.000000	0.096606	0.773741	
87.000000	0.094516	0.836515	
88.000000	0.095874	0.783951	
89.000000	0.094004	0.817898	
90.000000	0.093186	0.781521	
91.000000	0.096098	0.763755	
92.000000	0.092468	0.773486	
93.000000	0.096338	0.782892	
94.000000	0.092076	0.778451	
95.000000	0.090377	0.791502	
96.000000	0.093767	0.799948	
97.000000	0.093482	0.827759	
98.000000	0.092210	0.807990	
99.000000	0.092047	0.779910	
100.000000	0.092144	0.789686	
101.000000	0.093088	0.766296	
102.000000	0.088826	0.816100	
103.000000	0.090789	0.800137	
104.000000	0.091039	0.796205	
105.000000	0.090759	0.842726	
106.000000	0.091187	0.818674	
107.000000	0.093243	0.799415	
108.000000	0.089554	0.794511	
109.000000	0.090535	0.804181	
110.000000	0.090809	0.830879	
111.000000	0.090404	0.812631	
112.000000	0.092418	0.801983	
113.000000	0.089965	0.783146	
114.000000	0.091454	0.813485	
115.000000	0.093718	0.795011	
116.000000	0.090633	0.774397	
117.000000	0.089684	0.806300	
118.000000	0.088963	0.833063	
119.000000	0.088610	0.825964	
120.000000	0.091077	0.804137	
121.000000	0.089265	0.803180	
122.000000	0.087654	0.820825	
123.000000	0.088073	0.792200	
124.000000	0.085662	0.844512	
125.000000	0.085840	0.815742	
126.000000	0.087586	0.798027	
127.000000	0.090541	0.851760	
128.000000	0.088510	0.818926	
129.000000	0.085381	0.836894	
130.000000	0.088305	0.805554	
131.000000	0.087313	0.812709	
132.000000	0.089240	0.810488	
133.000000	0.088027	0.825159	
134.000000	0.090705	0.822577	
135.000000	0.084945	0.806933	
136.000000	0.086164	0.810270	
137.000000	0.089270	0.782537	
138.000000	0.089159	0.802492	
139.000000	0.084501	0.800941	
140.000000	0.084397	0.851909	
141.000000	0.088572	0.831438	
142.000000	0.088934	0.794358	
143.000000	0.084651	0.809591	
144.000000	0.088617	0.839657	
145.000000	0.085906	0.804056	
146.000000	0.085094	0.825136	
147.000000	0.082264	0.827839	
148.000000	0.083393	0.830803	
149.000000	0.082970	0.841041	
150.000000	0.084765	0.846028	
151.000000	0.083071	0.804976	
152.000000	0.083320	0.823308	
153.000000	0.083193	0.863586	
154.000000	0.084465	0.846816	
155.000000	0.083103	0.824302	
156.000000	0.083470	0.820810	
157.000000	0.080541	0.828757	
158.000000	0.084389	0.802732	
159.000000	0.081114	0.816213	
160.000000	0.083739	0.802404	
161.000000	0.083189	0.845876	
162.000000	0.081997	0.808570	
163.000000	0.082925	0.849573	
164.000000	0.082432	0.832192	
165.000000	0.082388	0.778223	
166.000000	0.083722	0.851068	
167.000000	0.083410	0.804145	
168.000000	0.083230	0.854358	
169.000000	0.081192	0.833675	
170.000000	0.082717	0.804134	
171.000000	0.083323	0.833094	
172.000000	0.080888	0.810078	
173.000000	0.081356	0.804259	
174.000000	0.083491	0.837592	
175.000000	0.084376	0.826608	
176.000000	0.083230	0.844833	
177.000000	0.082286	0.825266	
178.000000	0.082201	0.809851	
179.000000	0.082134	0.846660	
180.000000	0.082521	0.803552	
181.000000	0.083301	0.787025	
182.000000	0.083142	0.803118	
183.000000	0.082220	0.808499	
184.000000	0.082472	0.799716	
185.000000	0.080460	0.818622	
186.000000	0.082385	0.836119	
187.000000	0.084412	0.834349	
188.000000	0.082613	0.837380	
189.000000	0.082506	0.787626	
190.000000	0.082821	0.821427	
191.000000	0.081657	0.848737	
192.000000	0.082399	0.830478	
193.000000	0.085896	0.828014	
194.000000	0.080600	0.838773	
195.000000	0.082957	0.835032	
196.000000	0.083983	0.825760	
197.000000	0.083382	0.827211	
198.000000	0.081547	0.822780	
199.000000	0.081939	0.845907	
200.000000	0.083472	0.841069	
