Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
120.000000	0.132805	0.892440	
121.000000	0.133247	0.893364	
122.000000	0.134583	0.884899	
123.000000	0.133069	0.895725	
124.000000	0.135753	0.892684	
125.000000	0.132004	0.895879	
126.000000	0.133593	0.889072	
127.000000	0.129980	0.894167	
128.000000	0.132700	0.892492	
129.000000	0.129470	0.896139	
130.000000	0.129553	0.890828	
131.000000	0.125969	0.882244	
132.000000	0.132251	0.893266	
133.000000	0.135851	0.890278	
134.000000	0.134494	0.896226	
135.000000	0.141345	0.894975	
136.000000	0.133051	0.886459	
137.000000	0.132778	0.888397	
138.000000	0.127499	0.886940	
139.000000	0.126823	0.891403	
140.000000	0.131589	0.895029	
141.000000	0.131607	0.896128	
142.000000	0.131623	0.893039	
143.000000	0.131550	0.892058	
144.000000	0.130525	0.887604	
145.000000	0.129890	0.893486	
146.000000	0.127486	0.891216	
147.000000	0.131405	0.894609	
148.000000	0.128508	0.883929	
149.000000	0.131786	0.888248	
150.000000	0.125546	0.892349	
151.000000	0.126430	0.892581	
152.000000	0.130194	0.893512	
153.000000	0.129183	0.894588	
154.000000	0.139587	0.892385	
155.000000	0.131227	0.892238	
156.000000	0.129633	0.890883	
157.000000	0.125529	0.895155	
158.000000	0.127481	0.892775	
159.000000	0.126259	0.893340	
160.000000	0.125564	0.894599	
161.000000	0.130922	0.892151	
162.000000	0.125826	0.889863	
163.000000	0.128402	0.890708	
164.000000	0.125000	0.893341	
165.000000	0.129084	0.892775	
166.000000	0.129049	0.892936	
167.000000	0.128450	0.894574	
168.000000	0.126933	0.894120	
169.000000	0.125141	0.894560	
170.000000	0.127564	0.894658	
171.000000	0.125978	0.892940	
172.000000	0.129339	0.894153	
173.000000	0.131304	0.893890	
174.000000	0.127380	0.891737	
175.000000	0.123245	0.894849	
176.000000	0.128782	0.892305	
177.000000	0.127236	0.892764	
178.000000	0.126371	0.893621	
179.000000	0.125282	0.892873	
180.000000	0.125510	0.893805	
181.000000	0.128704	0.891796	
182.000000	0.126441	0.892238	
183.000000	0.127508	0.892250	
184.000000	0.126113	0.890994	
185.000000	0.128552	0.893532	
186.000000	0.130439	0.894690	
187.000000	0.123049	0.893599	
188.000000	0.131806	0.893358	
189.000000	0.128013	0.893263	
190.000000	0.129230	0.893101	
191.000000	0.126307	0.889531	
192.000000	0.124403	0.893575	
193.000000	0.124509	0.893840	
194.000000	0.129879	0.893805	
195.000000	0.128149	0.892442	
196.000000	0.123532	0.892185	
197.000000	0.128073	0.893040	
