Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
169.000000	0.050395	0.908818	
170.000000	0.050270	0.908329	
171.000000	0.052282	0.909292	
172.000000	0.050634	0.908548	
173.000000	0.050736	0.908677	
174.000000	0.051448	0.907980	
175.000000	0.051991	0.907843	
176.000000	0.051287	0.908262	
177.000000	0.050469	0.907803	
178.000000	0.050844	0.909200	
179.000000	0.052517	0.907927	
180.000000	0.050453	0.909380	
181.000000	0.051378	0.908390	
182.000000	0.051432	0.908499	
183.000000	0.051976	0.908442	
184.000000	0.049842	0.908343	
185.000000	0.050913	0.908367	
186.000000	0.051500	0.909213	
187.000000	0.050693	0.908864	
188.000000	0.051829	0.908334	
189.000000	0.051446	0.908048	
190.000000	0.051097	0.908752	
191.000000	0.050531	0.908150	
192.000000	0.051677	0.907730	
193.000000	0.051253	0.907503	
194.000000	0.050855	0.907705	
195.000000	0.053085	0.907622	
196.000000	0.051750	0.908056	
197.000000	0.051292	0.908469	
198.000000	0.050533	0.907716	
199.000000	0.050896	0.908649	
200.000000	0.051162	0.907786	
